day_of_week,day_type,training_sessions,num_meals,num_snacks,calories,protein,carbs,fat,fiber,meals,snacks,grocery_list
Monday,Rest Day,"[""No Training""]",3,2,1764,195,110,71,30,"[{""name"": ""Meal 1"", ""time"": ""6:00 AM - 7:00 AM"", ""calories"": 423, ""protein"": 46, ""carbs"": 26, ""fat"": 17, ""fiber"": 7, ""foods"": []}, {""name"": ""Meal 2"", ""time"": ""11:00 AM - 12:00 PM"", ""calories"": 564, ""protein"": 62, ""carbs"": 35, ""fat"": 19, ""fiber"": 9, ""foods"": []}, {""name"": ""Meal 3"", ""time"": ""5:00 PM - 6:00 PM"", ""calories"": 423, ""protein"": 46, ""carbs"": 26, ""fat"": 19, ""fiber"": 7, ""foods"": [{""name"": ""Chicken Breast"", ""amount"": 148, ""unit"": ""g""}, {""name"": ""Brown Rice"", ""amount"": 113, ""unit"": ""g""}, {""name"": ""Avocado"", ""amount"": 84, ""unit"": ""g""}, {""name"": ""Broccoli"", ""amount"": 100, ""unit"": ""g""}, {""name"": ""Berries"", ""amount"": 100, ""unit"": ""g""}]}]","[{""name"": ""Snack 1"", ""calories"": 176, ""protein"": 19, ""carbs"": 11, ""fat"": 7, ""fiber"": 3, ""foods"": []}, {""name"": ""Snack 2"", ""calories"": 176, ""protein"": 19, ""carbs"": 11, ""fat"": 7, ""fiber"": 3, ""foods"": []}]",[]
Tuesday,Training Day - Light,"[""6:00 AM - 7:00 AM""]",3,1,1960,195,137,71,30,"[{""name"": ""Meal 1"", ""time"": ""7:00 AM - 8:00 AM"", ""calories"": 470, ""protein"": 39, ""carbs"": 43, ""fat"": 17, ""fiber"": 7, ""foods"": [{""name"": ""Lean Ground Beef"", ""amount"": 150, ""unit"": ""g""}, {""name"": ""Brown Rice"", ""amount"": 187, ""unit"": ""g""}, {""name"": ""Berries"", ""amount"": 100, ""unit"": ""g""}]}, {""name"": ""Meal 2"", ""time"": ""11:00 AM - 12:00 PM"", ""calories"": 627, ""protein"": 62, ""carbs"": 32, ""fat"": 19, ""fiber"": 9, ""foods"": [{""name"": ""Salmon"", ""amount"": 248, ""unit"": ""g""}, {""name"": ""Brown Rice"", ""amount"": 139, ""unit"": ""g""}, {""name"": ""Broccoli"", ""amount"": 100, ""unit"": ""g""}, {""name"": ""Berries"", ""amount"": 100, ""unit"": ""g""}]}, {""name"": ""Meal 3"", ""time"": ""6:00 PM - 7:00 PM"", ""calories"": 470, ""protein"": 54, ""carbs"": 32, ""fat"": 19, ""fiber"": 7, ""foods"": [{""name"": ""Chicken Breast"", ""amount"": 174, ""unit"": ""g""}, {""name"": ""Oatmeal"", ""amount"": 47, ""unit"": ""g""}, {""name"": ""Olive Oil"", ""amount"": 68, ""unit"": ""g""}, {""name"": ""Zucchini"", ""amount"": 100, ""unit"": ""g""}, {""name"": ""Orange"", ""amount"": 100, ""unit"": ""g""}]}]","[{""name"": ""Snack 1"", ""calories"": 392, ""protein"": 39, ""carbs"": 27, ""fat"": 14, ""fiber"": 6, ""foods"": []}]",[]
